psNumber,title,organisation,department,category,theme,submitted,cap,deadline,youtube,dataset
SIH26058,"Development of a Low-Power, Real-Time Adaptive Software-Defined Sonar Transmitter Payload for Autonomous Underwater Vehicles (AUVs)",Ministry of Earth Sciences (MoES),National Institute of Ocean Technology (NIOT),Hardware,Robotics and Drones,1,500,30 September 2026,,
SIH26059,"AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System",Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Software,Transportation & Logistics,2,500,30 September 2026,,
SIH26060,Digital Platform for efficient remote management of Indian Antarctic Research Stations,Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Software,Smart Automation,1,500,30 September 2026,,
SIH26061,AI-Driven Smart Energy Management System for Polar Research Stations,Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Software,Clean & Green Technology,2,500,30 September 2026,,
SIH26062,Integrated Polar Expedition Logistics and Asset Management System,Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Software,Smart Automation,0,500,30 September 2026,,
SIH26063,"Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal",Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Software,Smart Education,0,500,30 September 2026,,
SIH26064,Low-Cost Deployable Seafloor Metal Detection Sensor for Ocean Resource Exploration,Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Hardware,Robotics and Drones,1,500,30 September 2026,,
SIH26065,Autonomous Low-Cost Ocean Observation Platform for Polar and Southern Oceans,Ministry of Earth Sciences (MoES),National Centre for Polar andOcean Research (NCPOR),Hardware,Robotics and Drones,1,500,30 September 2026,,
SIH26066,OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.,Ministry of Earth Sciences (MoES),Indian National Centre for Ocean Information Services (INCOIS) Ocean Valley,Software,Disaster Management,1,500,30 September 2026,,
SIH26067,Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.,Ministry of Earth Sciences (MoES),Indian National Centre for Ocean Information Services (INCOIS) Ocean Valley,Software,Disaster Management,1,500,30 September 2026,,
SIH26068,"WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information",Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Disaster Management,17,500,30 September 2026,,
SIH26069,National Weather Big Data Analytics Platform,Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Disaster Management,0,500,30 September 2026,,
SIH26070,"To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data.",Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Disaster Management,1,500,30 September 2026,,
SIH26071,"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.",Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Disaster Management,3,500,30 September 2026,,
SIH26072,"AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.",Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Disaster Management,0,500,30 September 2026,,
SIH26073,AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS),Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Disaster Management,1,500,30 September 2026,,
SIH26074,Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.,Ministry of Earth Sciences (MoES),India Meteorological Department,Software,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26075,"Participants are invited to design and develop **CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal** to support organizational training, competency development, and knowledge sharing through a centralized web-based platform.",Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Smart Education,5,500,30 September 2026,,
SIH26076,Development of personalized homepage for 'Mausam' mobile application:,Ministry of Earth Sciences (MoES),India Meteorological Department,Software,Smart Automation,2,500,30 September 2026,,
SIH26077,AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting,Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Disaster Management,0,500,30 September 2026,,
SIH26078,AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts,Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Smart Automation,0,500,30 September 2026,,
SIH26079,AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts,Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Smart Automation,0,500,30 September 2026,,
SIH26080,Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts,Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Smart Automation,0,500,30 September 2026,,
SIH26081,Hybrid AI–NWP Multi-Model Forecast Blending System,Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Disaster Management,0,500,30 September 2026,,
SIH26082,Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus),Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Clean & Green Technology,0,500,30 September 2026,,
SIH26083,Extreme Heatwave Early Warning and Human Thermal Stress Index,Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Disaster Management,3,500,30 September 2026,,
SIH26084,"Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)",Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Disaster Management,0,500,30 September 2026,,
SIH26085,Urban Flood Nowcasting System (Drainage and Rainfall Coupling),Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,Disaster Management,3,500,30 September 2026,,
SIH26086,Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale),Ministry of Earth Sciences (MoES),National Centre for Medium Range Weather Forecasting (NCMRWF),Software,"Agriculture, FoodTech & Rural Development",0,500,30 September 2026,,
SIH26087,"AI & LMS - Enabled Cooperative Capacity Building, ERP & Employment Ecosystem",Ministry of Cooperation,National Council for Cooperative Training (NCCT),Hardware,Smart Education,0,500,30 September 2026,,
SIH26088,Multilingual Cooperative Governance & Legal Assistance Chatbot,Ministry of Cooperation,National Council for Cooperative Training (NCCT),Hardware,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26089,Cooperative Gig Services Platform for Household & Community Services,Ministry of Cooperation,National Council for Cooperative Training (NCCT),Software,"Agriculture, FoodTech & Rural Development",4,500,30 September 2026,,
SIH26090,AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,Heritage & Culture,3,500,30 September 2026,,
SIH26091,AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,"Agriculture, FoodTech & Rural Development",5,500,30 September 2026,,
SIH26092,AI-Driven Scheme Matching for Marginalized Entrepreneurs,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,Smart Automation,3,500,30 September 2026,,
SIH26093,AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,MedTech / BioTech / HealthTech,4,500,30 September 2026,,
SIH26094,AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,MedTech / BioTech / HealthTech,1,500,30 September 2026,,
SIH26095,Smart Real-Time Monitoring & Inspection Mobile App,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,Smart Automation,7,500,30 September 2026,,
SIH26096,"Digital Heritage Archive for Memorials, Manuscripts & Ambedkar: AI-Powered Institutional Archive and Audio-Visual Knowledge Platform",Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Hardware,Smart Education,0,500,30 September 2026,,
SIH26097,AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY,Ministry of Social Justice and Empowerment (MoSJE),Department of Social Justice and Empowerment,Software,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26098,Development of a Low-Cost Precision Guidance and Smart Electronic Fuze System for a 155 mm Artillery Shell,Ministry of Defence (MoD),"Yantra India Limited, Ambajhari,Nagpur",Hardware,Smart Vehicles,1,500,30 September 2026,,
SIH26099,AI-Driven Standardization and Harmonization of Material Codes Across CPSEs,Ministry of Petroleum & Natural Gas,Chennai Petroleum Corporation Limited(CPCL),Software,Smart Automation,1,500,30 September 2026,,
SIH26100,AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement,Ministry of Petroleum & Natural Gas,Chennai Petroleum Corporation Limited(CPCL),Software,Smart Automation,5,500,30 September 2026,,
SIH26101,"Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.",MoSPI,Data Informatics & Innovation Division (DIID),Software,Smart Education,10,500,30 September 2026,,
SIH26102,"Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.",MoSPI,Data Informatics & Innovation Division (DIID),Software,Smart Automation,5,500,30 September 2026,,https://mplads.mospi.gov.in/digigov/dashboard.html
SIH26103,Use case on web-based integrated project-monitoring platform,MoSPI,Data Informatics & Innovation Division (DIID),Software,Smart Automation,3,500,30 September 2026,,
SIH26104,AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks,All India Council for Technical Education (Cyber Security Cell),Cyber Security Cell,Software,Blockchain & Cybersecurity,10,500,30 September 2026,,
SIH26105,AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform,All India Council for Technical Education (Cyber Security Cell),Cyber Security Cell,Software,Blockchain & Cybersecurity,3,500,30 September 2026,,
SIH26106,"AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform",All India Council for Technical Education (Cyber Security Cell),Cyber Security Cell,Software,Blockchain & Cybersecurity,5,500,30 September 2026,,
SIH26107,Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Smart Automation,1,500,30 September 2026,,
SIH26108,AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Smart Automation,0,500,30 September 2026,,
SIH26109,Al-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in lndian Dairy Farms,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Animal Husbandry & Dairying,Hardware,"Agriculture, FoodTech & Rural Development",0,500,30 September 2026,,
SIH26110,Development of a Low-Cost Light-weight Milk Chilling Can for Small-Scale Dairy Farmers,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Animal Husbandry & Dairying,Hardware,"Agriculture, FoodTech & Rural Development",2,500,30 September 2026,,
SIH26111,Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Animal Husbandry & Dairying,Software,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26112,Design and Develop a Modular Autonomous Mobile Robot (AMR) Platform for Smart Warehouse Automation,Autodesk,Autodesk Education Experience,Hardware,Robotics and Drones,3,500,30 September 2026,,
SIH26113,"Human augmentation technologies are transforming healthcare,rehabilitation, industrial ergonomics, assistive living, sports, and personal mobility by improving human capabilities and enhancing quality of life.",Autodesk,Autodesk Education Experience,Hardware,MedTech / BioTech / HealthTech,7,500,30 September 2026,,
SIH26114,Smart City Site Planning using Autodesk Forma Site Design,Autodesk,Autodesk Education Experience,Software,Miscellaneous,0,500,30 September 2026,,
SIH26115,Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System,Autodesk,Autodesk Education Experience,Software,MedTech / BioTech / HealthTech,0,500,30 September 2026,,
SIH26116,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units).",Autodesk,Autodesk Education Experience,Software,Miscellaneous,0,500,30 September 2026,,
SIH26117,Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work,Mangalore Refinery and Petrochemicals Limited (MRPL),Mangalore Refinery and Petrochemicals Limited (MRPL),Software,Smart Automation,7,500,30 September 2026,,
SIH26118,Passive Colorimetric H2S Exposure-Dosimeter Wristband with AI-Based Quantitative Reading,Mangalore Refinery and Petrochemicals Limited (MRPL),Mangalore Refinery and Petrochemicals Limited (MRPL),Hardware,Smart Automation,1,500,30 September 2026,,
SIH26119,Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX),Mangalore Refinery and Petrochemicals Limited (MRPL),Mangalore Refinery and Petrochemicals Limited (MRPL),Software,Smart Automation,0,500,30 September 2026,,
SIH26120,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.,Oil India Limited,Oil India Limited,Software,Smart Automation,1,500,30 September 2026,,
SIH26121,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations,Oil India Limited,Oil India Limited,Software,Smart Automation,1,500,30 September 2026,,
SIH26122,Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge),Oil India Limited,Oil India Limited,Software,Smart Automation,3,500,30 September 2026,,
SIH26123,Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses,Bharat Electronics Limited,Bharat Electronics Limited,Software,Smart Automation,1,500,30 September 2026,,
SIH26124,AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet,Bharat Electronics Limited,Bharat Electronics Limited,Software,Smart Automation,3,500,30 September 2026,,
SIH26125,"Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management",Bharat Electronics Limited,Bharat Electronics Limited,Software,Blockchain & Cybersecurity,4,500,30 September 2026,,
SIH26126,Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment,Bharat Electronics Limited,Bharat Electronics Limited,Software,Smart Automation,0,500,30 September 2026,,
SIH26127,City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics,Bharat Electronics Limited,Bharat Electronics Limited,Software,Smart Automation,3,500,30 September 2026,,
SIH26128,"Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues",Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,MedTech / BioTech / HealthTech,5,500,30 September 2026,,
SIH26129,"System integration and interoperability among government digital platforms,resulting in fragmented service delivery",Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,Miscellaneous,2,500,30 September 2026,,
SIH26130,"Efficiency in streamlining industrial approvals,compliance processes,and access to government support services",Government Of Maharashtra,"Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation",Software,Miscellaneous,2,500,30 September 2026,,
